RatingReferenceNumber,PremiseID,PremiseName,StarRatingWithGreenPower,StarRatingWithoutGreenPower,PremiseType,StreetNumber,StreetName,Suburb,State,Postcode,Latitude,Longitude,GNAFLGA,StarRating,CertificateValidTo,RatingType,RatingScope
N51010,1797,AMP Centre,6 Stars,5 Stars,Office,750,Collins Street,DOCKLANDS,VIC,3008,-37.82013169,144.9488167,MELBOURNE CITY,6 Stars,2019-01-28 0:00:00,Energy,Base Building
N49401,3004,AMP Services Limited,4 Stars,4 Stars,Office,104,Melbourne Street,SOUTH BRISBANE,QLD,4101,-27.47571705,153.0162813,BRISBANE CITY,4 Stars,2018-09-07 0:00:00,Energy,Tenancy
N48871,404,Angas Securities House,4 Stars,4 Stars,Office,26,Flinders Street,ADELAIDE,SA,5000,-34.9266487,138.6015681,ADELAIDE CITY COUNCIL,4 Stars,2018-07-29 0:00:00,Energy,Base Building
N49396,711,Angel Place,3.5 Stars,3.5 Stars,Office,123,Pitt Street,SYDNEY,NSW,2000,-33.86987584,151.208266,NULL,3.5 Stars,2018-10-28 0:00:00,Water,Base Building
N49396,711,Angel Place,4.5 Stars,4.5 Stars,Office,123,Pitt Street,SYDNEY,NSW,2000,-33.86987584,151.208266,NULL,4.5 Stars,2018-10-28 0:00:00,Energy,Base Building
N48310,4873,Anglo American Building,3.5 Stars,3.5 Stars,Office,201,Charlotte Street,BRISBANE CITY,QLD,4000,NULL,NULL,NULL,3.5 Stars,2018-07-07 0:00:00,Energy,Base Building
N48757,1860,Ansvar House,3.5 Stars,3.5 Stars,Office,432,St Kilda Road,MELBOURNE,VIC,3004,-37.837374,144.975495,PORT PHILLIP CITY,3.5 Stars,2018-06-19 0:00:00,Energy,Base Building
N48757,1860,Ansvar House,4.5 Stars,4.5 Stars,Office,432,St Kilda Road,MELBOURNE,VIC,3004,-37.837374,144.975495,PORT PHILLIP CITY,4.5 Stars,2018-06-19 0:00:00,Water,Base Building
N49290,4146,ANZAC Park West,3.5 Stars,3.5 Stars,Office,ANZAC Park West,Constitution Avenue,Parkes,ACT,2600,NULL,NULL,NULL,3.5 Stars,2018-09-01 0:00:00,Energy,Base Building
N48553,659,AON Building,2.5 Stars,2.5 Stars,Office,15,London Circuit,CANBERRA,ACT,2601,-35.28067887,149.1258121,,2.5 Stars,2018-10-30 0:00:00,Energy,Base Building
N48584,2950,Ark,4 Stars,4 Stars,Office,40,Mount Street,NORTH SYDNEY,NSW,2060,-33.83839687,151.2055898,NORTH SYDNEY COUNCIL,4 Stars,2018-06-26 0:00:00,Water,Base Building
N48584,2950,Ark,5.5 Stars,5.5 Stars,Office,40,Mount Street,NORTH SYDNEY,NSW,2060,-33.83839687,151.2055898,NORTH SYDNEY COUNCIL,5.5 Stars,2018-06-26 0:00:00,Energy,Base Building
N21756,4032,Armadale Shopping City,3 Stars,3 Stars,Shopping Centre,Armadale Shopping City,Jull Street,ARMADALE,WA,6112,NULL,NULL,NULL,3 Stars,2018-07-10 0:00:00,Energy,NULL
N21756,4032,Armadale Shopping City,4 Stars,4 Stars,Shopping Centre,Armadale Shopping City,Jull Street,ARMADALE,WA,6112,NULL,NULL,NULL,4 Stars,2018-07-10 0:00:00,Water,NULL
N49540,5163,Arnhemica,5 Stars,5 Stars,Office,16,Parap Road,PARAP,NT,820,-12.433394,130.843602,DARWIN MUNICIPALITY,5 Stars,2018-10-04 0:00:00,Energy,Base Building
N48396,2867,Ascendas Innovation Place,4 Stars,4 Stars,Office,100,Arthur Street,NORTH SYDNEY,NSW,2060,-33.83984038,151.2095448,NORTH SYDNEY COUNCIL,4 Stars,2018-05-09 0:00:00,Water,Base Building
